Sex,Event,Equipment,Age,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Federation
M,SBD,Raw,23.5,52,250,172.5,145,567.5,IPF
M,SBD,Raw,21.5,52,252.5,172.5,142.5,567.5,IPF
M,SBD,Raw,22.5,52,270,177.5,130,577.5,IPF
M,SBD,Raw,19.5,52,217.5,155,125,497.5,IPF
M,SBD,Raw,18.5,52,190,135,120,445,IPF
M,SBD,Raw,20.5,52,247.5,162.5,125,535,IPF
F,SBD,Raw,48.5,52,87.5,65,150,302.5,IPF
F,SBD,Raw,26.5,57,160,90,203,453,IPF
F,SBD,Raw,37.5,57,132.5,82.5,152.5,367.5,IPF
F,SBD,Raw,23.5,63,122.5,75,172.5,370,IPF
F,SBD,Raw,44.5,72,120,75,145,340,IPF
F,SBD,Raw,27.5,84,117.5,75,180,372.5,IPF
F,SBD,Raw,37.5,84,142.5,62.5,130,335,IPF
F,SBD,Raw,30,84+,200,150,120,470,IPF
M,SBD,Raw,19.5,74,210,140,220,570,IPF
M,SBD,Raw,22.5,74,187.5,132.5,225,545,IPF
M,SBD,Raw,27.5,83,225,150,270,645,IPF
M,SBD,Raw,28.5,105,310,195,390.5,895.5,IPF
M,SBD,Raw,24.5,105,280,162.5,305,747.5,IPF
M,SBD,Raw,22.5,105,247.5,155,257.5,660,IPF
M,SBD,Raw,29.5,120,295,185,280,760,IPF
M,SBD,Raw,21.5,120+,290,170,282.5,742.5,IPF
M,SBD,Raw,22.5,120+,NA,160,347.5,NA,IPF
M,SBD,Raw,34.5,59,215,147.5,207.5,570,IPF
M,SBD,Raw,47,59,192.5,100,230,522.5,IPF
M,SBD,Raw,45.5,59,165,130,200,495,IPF
M,SBD,Raw,30,59,200,105,NA,NA,IPF
M,SBD,Raw,29.5,66,205,172.5,255,632.5,IPF
M,SBD,Raw,36,66,232.5,145,242.5,620,IPF
M,SBD,Raw,34.5,66,192.5,155,252.5,600,IPF
M,SBD,Raw,24.5,66,225,130,242.5,597.5,IPF
M,SBD,Raw,27,66,195,155,232.5,582.5,IPF
M,SBD,Raw,35.5,66,185,127.5,237.5,550,IPF
M,SBD,Raw,37.5,66,180,120,230,530,IPF
M,SBD,Raw,36.5,74,235,160,291,686,IPF
M,SBD,Raw,31.5,74,220,170,280,670,IPF
M,SBD,Raw,45.5,74,230,172.5,267.5,670,IPF
M,SBD,Raw,37.5,74,225,150,277.5,652.5,IPF
M,SBD,Raw,30,74,237.5,145,262.5,645,IPF
M,SBD,Raw,25.5,74,237.5,160,245,642.5,IPF
M,SBD,Raw,25,74,245,165,230,640,IPF
M,SBD,Raw,23.5,74,220,155,260,635,IPF
M,SBD,Raw,35.5,74,202.5,132.5,240,575,IPF
M,SBD,Raw,30.5,74,200,130,240,570,IPF
M,SBD,Raw,30.5,74,215,132.5,210,557.5,IPF
M,SBD,Raw,29.5,74,185,145,200,530,IPF
M,SBD,Raw,30.5,83,265,182.5,312.5,760,IPF
M,SBD,Raw,38.5,83,255,165,287.5,707.5,IPF
M,SBD,Raw,25.5,83,255,162.5,275,692.5,IPF
M,SBD,Raw,27.5,83,242.5,145,285,672.5,IPF
M,SBD,Raw,24,83,245,135,282.5,662.5,IPF
M,SBD,Raw,25.5,83,230,167.5,242.5,640,IPF
M,SBD,Raw,46.5,83,195,172.5,250,617.5,IPF
M,SBD,Raw,37.5,83,232.5,142.5,235,610,IPF
M,SBD,Raw,33.5,83,235,135,230,600,IPF
M,SBD,Raw,23.5,83,205,142.5,250,597.5,IPF
M,SBD,Raw,23.5,83,255,185,270,NA,IPF
M,SBD,Raw,22.5,93,265,190,355,810,IPF
M,SBD,Raw,24.5,93,280,187.5,305,772.5,IPF
M,SBD,Raw,29.5,93,267.5,175,307.5,750,IPF
M,SBD,Raw,34,93,252.5,205,290,747.5,IPF
M,SBD,Raw,25.5,93,255,170,297.5,722.5,IPF
M,SBD,Raw,25.5,93,235,180,295,710,IPF
M,SBD,Raw,24.5,93,260,155,285,700,IPF
M,SBD,Raw,30.5,93,220,170,275,665,IPF
M,SBD,Raw,32.5,93,220,130,250,600,IPF
M,SBD,Raw,44.5,93,180,125,275,580,IPF
M,SBD,Raw,34.5,93,160,180,180,520,IPF
M,SBD,Raw,42.5,93,220,NA,230,NA,IPF
M,SBD,Raw,24.5,93,252.5,130,NA,NA,IPF
M,SBD,Raw,35.5,93,257.5,170,NA,NA,IPF
M,SBD,Raw,20.5,105,320,210,310,840,IPF
M,SBD,Raw,33.5,105,310,212.5,315,837.5,IPF
M,SBD,Raw,29.5,105,300,200,305,805,IPF
M,SBD,Raw,27.5,105,285,210,285,780,IPF
M,SBD,Raw,28.5,105,282.5,192.5,305,780,IPF
M,SBD,Raw,30.5,105,267.5,205,290,762.5,IPF
M,SBD,Raw,31.5,105,280,177.5,305,762.5,IPF
M,SBD,Raw,24.5,105,265,207.5,282.5,755,IPF
M,SBD,Raw,26,105,270,197.5,285,752.5,IPF
M,SBD,Raw,33.5,105,270,160,312.5,742.5,IPF
M,SBD,Raw,38.5,105,245,190,287.5,722.5,IPF
M,SBD,Raw,24.5,105,245,170,300,715,IPF
M,SBD,Raw,26.5,105,252.5,197.5,250,700,IPF
M,SBD,Raw,26.5,105,232.5,162.5,290,685,IPF
M,SBD,Raw,28.5,105,225,185,260,670,IPF
M,SBD,Raw,41.5,105,227.5,162.5,255,645,IPF
M,SBD,Raw,30.5,105,220,207.5,180,607.5,IPF
M,SBD,Raw,28.5,105,282.5,NA,NA,NA,IPF
M,SBD,Raw,27,105,310,212.5,332.5,NA,IPF
M,SBD,Raw,33.5,120,337.5,225,342.5,905,IPF
M,SBD,Raw,28,120,345,202.5,345,892.5,IPF
M,SBD,Raw,24.5,120,327.5,222.5,337.5,887.5,IPF
M,SBD,Raw,28.5,120,310,220,340,870,IPF
M,SBD,Raw,36,120,356,190,320,866,IPF
M,SBD,Raw,25,120,322.5,190,340,852.5,IPF
M,SBD,Raw,26.5,120,335,210,290,835,IPF
M,SBD,Raw,27.5,120,260,185,352.5,797.5,IPF
M,SBD,Raw,33.5,120,272.5,237.5,270,780,IPF
M,SBD,Raw,45,120,285,177.5,305,767.5,IPF
M,SBD,Raw,23.5,120,300,210,250,760,IPF
M,SBD,Raw,35.5,120,265,220,272.5,757.5,IPF
M,SBD,Raw,27.5,120,262.5,200,285,747.5,IPF
M,SBD,Raw,29.5,120,242.5,175,300,717.5,IPF
M,SBD,Raw,39.5,120,250,195,250,695,IPF
M,SBD,Raw,33.5,120,235,180,272.5,687.5,IPF
M,SBD,Raw,34.5,120,180,245,240,NA,IPF
M,SBD,Raw,46.5,120+,315,230,375,920,IPF
M,SBD,Raw,24.5,120+,345,215,332.5,892.5,IPF
M,SBD,Raw,33,120+,350,232.5,310,892.5,IPF
M,SBD,Raw,27.5,120+,345,207.5,332.5,885,IPF
M,SBD,Raw,35.5,120+,285,215,335,835,IPF
M,SBD,Raw,25.5,120+,322.5,205,305,832.5,IPF
M,SBD,Raw,24.5,120+,305,195,265,765,IPF
